"TradXML","FieldRef","FieldID","InfoItem","InfoItemCount","InfoItemsVary","Mnemonic","Description","CondCode","DataType","MinLength","MaxLength","MinOccur","MaxOccur","SpecialChar","NonPrintChar","ContentType","CodeTable","CodeTableOpt","ValueRange","RegExpression","DependPresenceReq","DependPresenceOpt","DependAbsence","DependValue","DependValueReq","DependValueOpt","DependOther","InterFieldOccur","InterFieldCount","InterFieldValue","InterFieldOther","Exception","Summary","TechNotes","Example","XML Tag Name","XML Namespace","Base Type","XMLPath","Notes","OpenIssues","Content Constraints","Format Constraints","Invalid Example"
"T","9/ROI/ROP:T","[09.300-E:T]","E","","","ROP","ROI Polygon","O^","NS","1","1188","0","1","[,-]","","Data_1T-NX","","","","\d{1,5},\d{1,5}(-\d{1,5},\d{1,5}){2,98}","","","","","","","","","","","","Y","Polygon (closed path) that defines the friction ridge area under consideration within the ROI. If the polygon is defined, the ROI rectangle shall be the bounding box for the polygon.","Each vertex must be (<9/ROI/EWI,<9/ROI/EHI), in the range [0..50000]","130,275-2130,6-2510,1290-1530,2530","","","","","A path may not have any sides crossing. No two vertices shall occupy the same position. A circle shall have 2 vertices, an ellipse 3 vertices, and a polygon shall have 3 to 99 vertices. See Table 19: Boundary Definition Codes and section 7.7.12 Paths in ANSI/NIST 2011 or 2013 for more information.","","","",""
"X","9/ROI/ROP:X1","[09.300-E:X1]","E","","","ROP","ROI Polygon (XML)","O^","","","","0","1","","","Set_X","","","","","","","","","","","","","","","","","Polygon that further defines the friction ridge area.","","","biom:ImageSegmentPolygon","http://niem.gov/niem/biometrics/1.0","biom:ImageSegmentPolygonType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FrictionRidgeImageRegionOfInterest/biom:ImageSegmentPolygon","","","","",""
"X","9/ROI/ROP:X2","[09.300-E:X2]","E","","","ROP","Image Segment Vertex (XML)","M^","","","","3","99","","","Set_X","","","","","","","","","","","","","","","","","Polygon that further defines the friction ridge area.","","","biom:ImageSegmentVertex","http://niem.gov/niem/biometrics/1.0","biom:ImageSegmentVertexType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FrictionRidgeImageRegionOfInterest/biom:ImageSegmentPolygon/biom:ImageSegmentVertex","","","","",""
"X","9/ROI/ROP:X3","[09.300-E:X3]","E","","","ROP","Image Location Horizontal Coordinate Measure (XML)","M^","N","1","5","1","1","","","Data_NX-1T","","","{0..49999}","","","","","","","","","","","<[9/ROI/EWI]","","","Polygon that further defines the friction ridge area.","","<biom:ImageLocationHorizontalCoordinateMeasure>130</biom:ImageLocationHorizontalCoordinateMeasure>","biom:ImageLocationHorizontalCoordinateMeasure","http://niem.gov/niem/biometrics/1.0","niem-xsd:integer","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FrictionRidgeImageRegionOfInterest/biom:ImageSegmentPolygon/biom:ImageSegmentVertex/biom:ImageLocationHorizontalCoordinateMeasure","","","","",""
"X","9/ROI/ROP:X4","[09.300-E:X4]","E","","","ROP","Image Location Vertical Coordinate Measure (XML)","M^","N","1","5","1","1","","","Data_NX-1T","","","{0..49999}","","","","","","","","","","","<[9/ROI/EHI]","","","Polygon that further defines the friction ridge area.","","<biom:ImageLocationVerticalCoordinateMeasure>275</biom:ImageLocationVerticalCoordinateMeasure>","biom:ImageLocationVerticalCoordinateMeasure","http://niem.gov/niem/biometrics/1.0","niem-xsd:integer","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FrictionRidgeImageRegionOfInterest/biom:ImageSegmentPolygon/biom:ImageSegmentVertex/biom:ImageLocationVerticalCoordinateMeasure","","","","",""
"TX","9/ORT","[09.301]","SET","2","","ORT","EFS Orientation","D","","","","0","1","","","Set","","","","","","9/ROI","","","","","","","","","","","Orientation and direction uncertainty of EFS region of interest.","","","biom:FingerprintImageFingerprintOrientation","http://niem.gov/niem/biometrics/1.0","biom:FingerprintImageFingerprintOrientationType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FingerprintImageFingerprintOrientation","","","","",""
"TX","9/ORT/EOD","[09.301-A]","A","","","EOD","Direction","M^","NS","1","4","1","1","[-]","","Data","","","{-179..180}","","","","","","","","","","","","","Y","Deviation of region of interest from upright (fingertip up) in integer degrees.","If field is omitted, the direction shall default to 0 (upright).","<biom:OrientationAngleValue>2</biom:OrientationAngleValue>","biom:OrientationAngleValue","http://niem.gov/niem/biometrics/1.0","biom:RelativeRotationMeasureType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FingerprintImageFingerprintOrientation/biom:OrientationAngleValue","Positive angles are counterclockwise, negative angles are clockwise. A value of ""0"" indicates an upright direction.","","","",""
"TX","9/ORT/EUC","[09.301-B]","B","","","EUC","Uncertainty","O^","N","1","3","0","1","","","Data","","","{0..180}","","","","","","","","","","","","","Y","Uncertainty of orientation direction in integer degrees. If orientation cannot be determined, the uncertainty value shall be set to 180.","If field is omitted, the direction shall default to 0 (upright).","<biom:OrientationAngleUncertaintyValue>180</biom:OrientationAngleUncertaintyValue>","biom:OrientationAngleUncertaintyValue","http://niem.gov/niem/biometrics/1.0","biom:UncertaintyValueType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FingerprintImageFingerprintOrientation/biom:OrientationAngleUncertaintyValue","","","","",""
"TX","9/FPP","[09.302]","SET","4","","FPP","EFS Finger, Palm, Plantar Position","D","","","","0","20","","","Set","","","","","9/ROI","","","","","","","","","","","","Physical position(s) that correspond to the EFS region of interest.","","","biom:MinutiaePalmLocation
or
biom:MinutiaePlantarLocation
or
biom:MinutiaeFingerLocation","http://niem.gov/niem/biometrics/1.0","biom:MinutiaeFingerLocationType
or
biom:MinutiaePlantarLocationType
or
biom:MinutiaePalmLocationType","if [9/FPP/FGP] IN {0..19, 40..50} then
    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeFingerLocation
elseif [9/FPP/FGP] IN {20..38, 81..82} then
    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaePalmLocation
else
    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaePlantarLocation
endif","","For 9.302A FGP,  it is not clear which XML element is to be used for FGP=18 (unknown friction ridge). A new element was added in A/N 2013e: biom:MinutiaeFrictionRidgeLocation.","","",""
"TX","9/FPP/FGP","[09.302-A]","A","","","FGP","Friction Ridge Generalized Position","M^","N","1","2","1","1","","","Data","FGP;FGPXML","","","","","","","","","","","","","","","","Finger position code.","","<biom:FingerPositionCode>17</biom:FingerPositionCode>","biom:FingerPositionCode
or
biom:PalmPositionCode
or
biom:PlantarPositionCode","http://niem.gov/niem/biometrics/1.0","biom:FingerPositionCodeType
or
biom:PlantarPositionCodeType
or
biom:PalmPositionCodeType","if [9/FPP/FGP] IN {0..19, 40..50} then
    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeFingerLocation/biom:FingerPositionCode
elseif [9/FPP/FGP] IN {20..38, 81..82} then
    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaePalmLocation/biom:PalmPositionCode
else
    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaePlantarLocation/biom:PlantarPositionCode
endif","","For 9.302A FGP,  it is not clear which XML element is to be used for FGP=18 (unknown friction ridge). A new element was added in A/N 2013e: biom:MinutiaeFrictionRidgeLocation.","","",""
"tx","9/FPP/FSM","[09.302-B]","B","","","FSM","Finger Segment","O^","A","3","3","0","1","","","Data","PPD","Opt","{""PRX"",""DST"",""MED"",""UNK""}","","","","","","","[9/FPP/FGP]IN{1..19,40..50}","","","","","","","Finger segment; only applies to fingerprints in which all or part of the medial or proximal segments (lower joints) are present in the image.","","<biom:SegmentLocationCode>DST</biom:SegmentLocationCode>","biom:SegmentLocationCode","http://niem.gov/niem/biometrics/1.0","biom:SegmentLocationCodeType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeFingerLocation/biom:SegmentLocationCode","","","","",""
"tx","9/FPP/OCF","[09.302-C]","C","","","OCF","Off-Center Fingerprint","O^","A","1","1","0","1","","","Data","FPP/OCF","","","","","","","","","[9/FPP/FGP]IN{1..19,40..50}","","","","","","","Off-center position (tip, right or left side) of fingerprint image.","","<biom:FingerprintOffCenterCode>R</biom:FingerprintOffCenterCode>","biom:FingerprintOffCenterCode","http://niem.gov/niem/biometrics/1.0","biom:FingerprintOffCenterCodeType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeFingerLocation/biom:FingerprintOffCenterCode","","","","",""
"T","9/FPP/SGP:T","[09.302-D:T]","D","","","SGP","Segment Polygon","O^","NS","1","1188","0","1","[,-]","","Data_1T-NX","","","","\d{1,5},\d{1,5}(-\d{1,5},\d{1,5}){2,98}","","","","","","","","","","","","","Closed path polygon that delineates the area that corresponds to the specified position/segment.","Each vertex must be (<9/ROI/EWI,<9/ROI/EHI), in the range [0..50000].","130,275-2130,6-2510,1290-1530,2530","","","","","","","","",""
"X","9/FPP/SGP:X1","[09.302-D:X1]","D","","","SGP","Segment Polygon (XML)","O^","","","","0","1","","","Set_X","","","","","","","","","","","","","","","","","Closed path polygon that delineates the area that corresponds to the specified position/segment.","","","biom:ImageSegmentPolygon","http://niem.gov/niem/biometrics/1.0","biom:ImageSegmentPolygonType","if [9/FPP/FGP] IN {0..19, 40..50} then
itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeFingerLocation/biom:ImageSegmentPolygon
elseif [9/FPP/FGP] IN {20..38, 81..82} then
itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaePalmLocation/biom:ImageSegmentPolygon
else    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaePlantarLocation/biom:ImageSegmentPolygon
endif","","","","",""
"X","9/FPP/SGP:X2","[09.302-D:X2]","D","","","SGP","Image Segment Vertex (XML)","M^","","","","3","99","","","Set_X","","","","","","","","","","","","","","","","","Closed path polygon that delineates the area that corresponds to the specified position/segment.","","","biom:ImageSegmentVertex","http://niem.gov/niem/biometrics/1.0","biom:ImageSegmentVertexType","if [9/FPP/FGP] IN {0..19, 40..50} then
    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeFingerLocation/biom:ImageSegmentPolygon/biom:ImageSegmentVertex
elseif [9/FPP/FGP] IN {20..38, 81..82} then
    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaePalmLocation/biom:ImageSegmentPolygon/biom:ImageSegmentVertex
else
    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaePlantarLocation/biom:ImageSegmentPolygon/biom:ImageSegmentVertex
endif","","","","",""
"X","9/FPP/SGP:X3","[09.302-D:X3]","D","","","SGP","Image Location Horizontal Coordinate Measure (XML)","M^","N","1","5","1","1","","","Data_NX-1T","","","{0..49999}","","","","","","","","","","","<[9/ROI/EWI]","","","Closed path polygon that delineates the area that corresponds to the specified position/segment.","","<biom:ImageLocationHorizontalCoordinateMeasure>2130</biom:ImageLocationHorizontalCoordinateMeasure>","biom:ImageLocationHorizontalCoordinateMeasure","http://niem.gov/niem/biometrics/1.0","niem-xsd:integer","if [9/FPP/FGP] IN {0..19, 40..50} then
itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeFingerLocation/biom:ImageSegmentPolygon/biom:ImageSegmentVertex/biom:ImageLocationHorizontalCoordinateMeasure
elseif [9/FPP/FGP] IN {20..38, 81..82} then    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaePalmLocation/biom:ImageSegmentPolygon/biom:ImageSegmentVertex/biom:ImageLocationHorizontalCoordinateMeasure
else    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaePlantarLocation/biom:ImageSegmentPolygon/biom:ImageSegmentVertex/biom:ImageLocationHorizontalCoordinateMeasure
endif","","","","",""
"X","9/FPP/SGP:X4","[09.302-D:X4]","D","","","SGP","Image Location Vertical Coordinate Measure (XML)","M^","N","1","5","1","1","","","Data_NX-1T","","","{0..49999}","","","","","","","","","","","<[9/ROI/EHI]","","","Closed path polygon that delineates the area that corresponds to the specified position/segment","","<biom:ImageLocationVerticalCoordinateMeasure>6</biom:ImageLocationVerticalCoordinateMeasure>","biom:ImageLocationVerticalCoordinateMeasure","http://niem.gov/niem/biometrics/1.0","niem-xsd:integer","if [9/FPP/FGP] IN {0..19, 40..50} then    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeFingerLocation/biom:ImageSegmentPolygon/biom:ImageSegmentVertex/biom:ImageLocationVerticalCoordinateMeasure
elseif [9/FPP/FGP] IN {20..38, 81..82} then    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaePalmLocation/biom:ImageSegmentPolygon/biom:ImageSegmentVertex/biom:ImageLocationVerticalCoordinateMeasure
else    itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaePlantarLocation/biom:ImageSegmentPolygon/biom:ImageSegmentVertex/biom:ImageLocationVerticalCoordinateMeasure
endif","","","","",""
"TX","9/FSP","[09.303]","","","","FSP","EFS Feature Set Profile","D","N","1","2","0","9","","","Data","EFSP","","","","","9/ROI","","","","","","","","","","Y","EFS Profile, which defines the specific set of EFS fields incorporated in a specific ANSI/NIST-ITL transaction.","Note this can have multiple occurrences, so the requirements apply if ANY of the 9/FSP occurrences is defined. If 9/FSP=1, then (either 9/COR or 9/NCOR is required) and (either 9/DEL or 9/NDEL is required). 9/FSP=2 has requirements of 9/FSP=1 as well as (either 9/MIN or 9/NMIN is required). 9/FSP=3 has the requirements of 9/FSP=1 and 2 as well as required 9/RQM, 9/RFM, and (either 9/DOT or 9/NDOT) and (either 9/INR or 9/NINR).","<nc:IdentificationID>11</nc:IdentificationID>","nc:IdentificationID","http://niem.gov/niem/niem-core/2.0","niem-xsd:string","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:ExtendedFeatureSetProfileIdentification/nc:IdentificationID","CodeTable obtained NIST Special Publication 1134: Extended Feature Set Profile Specification (http://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.1134.pdf). 9/EFS=10 requires 9/SIM. 9/EFS=11 requires 9/MRA and 9/MRC.","","","",""
"TX","9/PAT","[09.307]","SET","3","","PAT","EFS Pattern Classification","D","","","","0","7","","","Set","","","","","","9/ROI","","","","","","","","","","","EFS fingerprint classification information for image.","","","biom:FingerprintPatternClassification","http://niem.gov/niem/biometrics/1.0","biom:FingerprintPatternClassificationType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FingerprintPatternClassification","This field shall only be used for fingerprints, and shall be omitted for other friction ridge impressions. Complete Scar (SR) and Dissociated Ridges/Dysplasia (DR) should only be noted if the fingerprint cannot be classified. If the print can be classified and scar(s), dissociated ridges, and/or dysplasia are present, this field should note the classification(s) and the scar(s), dissociated ridges, and/or dysplasia should be noted in Field 9.324: EFS distinctive features / DIS. The use of Field 9.322: EFS core delta ridge counts / CDR can be used to further subcategorize pattern classification.","","","",""
"TX","9/PAT/GCF","[09.307-A]","A","","","GCF","General Class","M^","A","2","2","1","1","","","Data","PAT","","","","","","","","","","","","","","","","General pattern classification (arch, whorl, left, or right loop).","","<biom:FingerprintPatternGeneralClassCode>SR</biom:FingerprintPatternGeneralClassCode>","biom:FingerprintPatternGeneralClassCode","http://niem.gov/niem/biometrics/1.0","biom:FingerprintPatternGeneralClassCodeType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FingerprintPatternClassification/biom:FingerprintPatternGeneralClassCode","","","","",""
"TX","9/PAT/SUB","[09.307-B]","B","","","SUB","Subclass","D^","A","2","2","0","1","","","Data","PAT/SUB","","","","","","","","","[9/PAT/GCF]IN{""AU"",""WU""}","","","","","","","Sub-classification of arch/whorl.","","<biom:FingerprintPatternSubClassCode>PW</biom:FingerprintPatternSubClassCode>","biom:FingerprintPatternSubClassCode","http://niem.gov/niem/biometrics/1.0","biom:FingerprintPatternSubClassCodeType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FingerprintPatternClassification/biom:FingerprintPatternSubClassCode","","","","",""
"TX","9/PAT/WDR","[09.307-C]","C","","","WDR","Whorl-Delta Relationship","D^","A","1","1","0","1","","","Data","PAT/WDR","","","","","","","","","[9/PAT/SUB]IN{""PW"",""CP"",""DL"",""AW""}","","","","","","","Whorl-delta relationship.","","<biom:FingerprintPatternWhorlDeltaRelationshipCode>M</biom:FingerprintPatternWhorlDeltaRelationshipCode>","biom:FingerprintPatternWhorlDeltaRelationshipCode","http://niem.gov/niem/biometrics/1.0","biom:FingerprintPatternWhorlDeltaRelationshipCodeType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:FingerprintPatternClassification/biom:FingerprintPatternWhorlDeltaRelationshipCode","","","","",""
"T","9/RQM:T","[09.308:T]","","","","RQM","EFS Ridge Quality Map","D","AN","1","50000","0","50001","","","Data_T","RQM","Part","","","","9/ROI","","","[9/FSP]=3","","","","","","","Y","EFS local friction ridge quality map used to assess confidence of areas in an image.","If 9/RQF/RDF=""UNC"", permissible characters are [0..5]; otherwise permissible characters are [0..9][""A""..""F""], coincidentally the same as hexadecimal.","","","","","","This optional field is comprised of a repeating set of values. The number of subfields corresponds to the number of cells in a column of the image. The quality of each cell will be represented with a local quality value 0 through 5 representing the quality of ridge detail in that cell, as specified in Table 33 in ANIS/NIST. If a region of interest is defined, cells outside of the ROI polygon shall be set to a local quality value of 0 (black). Each row value is encoded as shown in Table 34 in ANSI/NIST. See Field 9.309 for the definition of the grid size and data representation. The number of occurrences must either be 0 or (9/EHI divided by 9/RQF/GSZ, rounded up). If 9/RQF/RDF=""UNC"", the length of each value must be (9/EWI divided by 9/RQF/GSZ, rounded up); otherwise (9/RQF/RDF=""RLE"") that is the maximum length. ","","","",""
"X","9/RQM:X","[09.308:X]","","","","RQM","EFS Ridge Quality Map (XML)","D","AN","1","50000","0","*","","","Data_X","RQM","Part","","","","9/ROI","","","[9/FSP]=3","","","","","","","Y","EFS local friction ridge quality map used to assess confidence of areas in an image.","If 9/RQF/RDF=""UNC"", permissible characters are [0..5]; otherwise permissible characters are [0..9][""A""..""F""], coincidentally the same as hexadecimal.","","biom:MinutiaeRidgeQualityMapRowText","http://niem.gov/niem/biometrics/1.0","nc:TextType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeRidgeQualityMap/biom:MinutiaeRidgeQualityMapRowText","This optional field is comprised of a repeating set of values. The number of subfields corresponds to the number of cells in a column of the image. The quality of each cell will be represented with a local quality value 0 through 5 representing the quality of ridge detail in that cell, as specified in Table 33 in ANIS/NIST. If a region of interest is defined, cells outside of the ROI polygon shall be set to a local quality value of 0 (black). Each row value is encoded as shown in Table 34 in ANSI/NIST. See Field 9.309 for the definition of the grid size and data representation. ","","","",""
"T","9/RQF:T","[09.309:T]","SET","2","","RQF","Ridge Quality Map Format","D","","","","0","1","","","Set_T","","","","","9/RQM:T","","","","","","","","","","","","Grid size or data representation format used in 9.308.","","","","","","","","","","",""
"X","9/RQF:X","[09.309:X]","SET","2","","RQF","Ridge Quality Map Format (XML)","D","","","","0","1","","","Set_X","","","","","9/RQM:X","","","","","","","","","","","","Grid size or data representation format used in 9.308.","","","biom:MinutiaeRidgeQualityMap","http://niem.gov/niem/biometrics/1.0","biom:MinutiaeRidgeQualityMapType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeRidgeQualityMap","","","","",""
"TX","9/RQF/GSZ","[09.309-A]","A","","","GSZ","Grid Size","M^","N","1","2","1","1","","","Data","","","{1..41}","","","","","","","","","","","","","","Grid sizes including horizontal and vertical dimensions of a single cell in the grid. Valid settings range from ""1"" (0.01 mm) through ""41"" (0.41 mm). The recommended grid size is 0.20mm (0.008"") - note this is 4 pixels at 500 ppi, or 8 pixels at 1000 ppi.","","<biom:MinutiaeRidgeQualityMapCellSizeValue>39</biom:MinutiaeRidgeQualityMapCellSizeValue>","biom:MinutiaeRidgeQualityMapCellSizeValue","http://niem.gov/niem/biometrics/1.0","biom:MapSamplingFrequencyValueType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeRidgeQualityMap/biom:MinutiaeRidgeQualityMapCellSizeValue","","","","",""
"TX","9/RQF/RDF","[09.309-B]","B","","","RDF","Ridge Quality Data Format","M^","A","3","3","1","1","","","Data","RQF/RDF","","","","","","","","","","","","","","","","Data format used in 9.308.","","<biom:MinutiaeRidgeQualityMapFormatCode>RLE</biom:MinutiaeRidgeQualityMapFormatCode>","biom:MinutiaeRidgeQualityMapFormatCode","http://niem.gov/niem/biometrics/1.0","biom:MinutiaeRidgeQualityMapFormatCodeType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeRidgeQualityMap/biom:MinutiaeRidgeQualityMapFormatCode","The first cell starts at the top left corner of the Region of Interest,
with cells in order left to right.
• All of the quality values for each row are stored in one repeating
subfield.
• The subfields are ordered from top to bottom
• If the width and/or height of the Region of Interest are not evenly
divisible by the Grid Size, partial cells shall be included at the right
and/or bottom of the ridge flow map.","","","",""
"T","9/RFM:T","[09.310:T]","","","","RFM","EFS Ridge Flow Map","D","AN","1","100000","0","50001","","","Data_T","","","","","","9/ROI","","","[9/FSP]=3","","","","","","","Y","Direction of friction ridges at points throughout EFS region of interest.","If 9/RFF/RDF=""UNC"", the DataType is H (hexadecimal), otherwise Base64.","UNC","","","","","The number of occurrences must either be 0 or (9/EHI divided by 9/RFF/SFQ). If 9/RFF/RDF=""UNC"", the length of each value must be (2 * 9/EWI divided by 9/RFF/SFQ); otherwise (9/RFF/RDF=""B64""), the length of each value must be  (9/EWI divided by 9/RFF/SFQ). The first sampling point in the image is the top left-most point in the region of interest. The same sampling frequency is used both horizontally and vertically. Values shall be included for all sampling points in the region of interest, even if the sampling points are at the edge of the region of interest. For each sampling point, angles shall be reported in integer degrees, with 0 degrees to the right (horizontal), increasing counterclockwise to a maximum value of 179° (since 180°=0°). Undefined angles are recorded in Field 9.311: EFS ridge flow map format / RFF. Each subfield corresponds to one row of the map in order from top to bottom. ","","","",""
"X","9/RFM:X","[09.310:X]","","","","RFM","EFS Ridge Flow Map (XML)","M","AN","1","100000","1","*","","","Data_X","","","","","","","","","[9/FSP]=3","","","","","","","Y","Direction of friction ridges at points throughout EFS region of interest.","If 9/RFF/RDF=""UNC"", the DataType is H (hexadecimal), otherwise Base64.","<biom:MinutiaeRidgeFlowMapRowText>UNC</biom:MinutiaeRidgeFlowMapRowText>","biom:MinutiaeRidgeFlowMapRowText","http://niem.gov/niem/biometrics/1.0","nc:TextType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeRidgeFlowMap/biom:MinutiaeRidgeFlowMapRowText","The number of occurrences must either be 0 or (9/EHI divided by 9/RFF/SFQ). If 9/RFF/RDF=""UNC"", the length of each value must be (2 * 9/EWI divided by 9/RFF/SFQ); otherwise (9/RFF/RDF=""B64""), the length of each value must be  (9/EWI divided by 9/RFF/SFQ). The first sampling point in the image is the top left-most point in the region of interest. The same sampling frequency is used both horizontally and vertically. Values shall be included for all sampling points in the region of interest, even if the sampling points are at the edge of the region of interest. For each sampling point, angles shall be reported in integer degrees, with 0 degrees to the right (horizontal), increasing counterclockwise to a maximum value of 179° (since 180°=0°). Undefined angles are recorded in Field 9.311: EFS ridge flow map format / RFF. Each subfield corresponds to one row of the map in order from top to bottom. ","","","",""
"T","9/RFF:T","[09.311:T]","SET","2","","RFF","EFS Ridge Flow Map Format","D","","","","0","1","","","Set_T","","","","","","9/RFM:T","","","","","","","","","","","EFS ridge flow map format used for 9.310 for values other than the defaults.","","","","","","","","","","",""
"X","9/RFF:X","[09.311:X]","SET","2","","RFF","EFS Ridge Flow Map Format (XML)","D","","","","0","1","","","Set_X","","","","","","9/RFM:X","","","","","","","","","","","EFS ridge flow map format used for 9.310 for values other than the defaults.","","","biom:MinutiaeRidgeFlowMap","http://niem.gov/niem/biometrics/1.0","biom:MinutiaeRidgeFlowMapType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeRidgeFlowMap","","","","",""
"TX","9/RFF/SFQ","[09.311-A]","A","","","SFQ","Sampling Frequency","M^","N","1","2","1","1","","","Data","","","{1..41}","","","","","","","","","","","","","Y","Optional field permits setting the sampling frequency or data representation format used in the Field 9.310: EFS ridge flow map / RFM to values other than the defaults.","Default value is ""41"".","<biom:MinutiaeRidgeFlowMapSamplingFrequencyValue>15</biom:MinutiaeRidgeFlowMapSamplingFrequencyValue>","biom:MinutiaeRidgeFlowMapSamplingFrequencyValue","http://niem.gov/niem/biometrics/1.0","biom:MapSamplingFrequencyValueType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeRidgeFlowMap/biom:MinutiaeRidgeFlowMapSamplingFrequencyValue","","","","",""
"TX","9/RFF/RDF","[09.311-B]","B","","","RDF","Ridge Flow Data Format","M^","AN","3","3","1","1","","","Data","RFF/RDF","","","","","","","","","","","","","","","Y","Format (uncompressed or base-64) used in Ridge Flow Map field.","Default value is ""UNC"".","<biom:MinutiaeRidgeFlowMapFormatCode>UNC</biom:MinutiaeRidgeFlowMapFormatCode>","biom:MinutiaeRidgeFlowMapFormatCode","http://niem.gov/niem/biometrics/1.0","biom:MinutiaeRidgeFlowMapFormatCodeType","itl:PackageMinutiaeRecord/biom:ExtendedFeatureSetMinutiae/biom:MinutiaeRidgeFlowMap/biom:MinutiaeRidgeFlowMapFormatCode","","","","",""
"T","9/RWM:T","[09.312:T]","","","","RWM","EFS Ridge Wavelength Map","D","AN","1","100000","0","50001","","","Data_T","","","","","","9/RWF:T","","","","","","","","","","Y","Peak-to-peak distance between ridges at various sampling points throughout the EFS region of interest. ","The number of occurrences must either be 0 or (9/ROI/EHI divided by 9/RWF/FWS). The length of each value must be (2 * 9/ROI/EWI divided by 9/RWF/FWS). Valid characters are [0..9][""X""]. ","","","","","","The sampling frequency is optionally defined in Field 9.313. For each sampling point in the Region of Interest, distances between ridge peaks, measured perpendicular to ridge flow, shall be reported in 2-character decimal format using units of 10 micrometers (0.01 mm). Unknown values shall be set to ""XX"". Valid values are therefore ""01"" (0.01 mm) through ""99"" (0.99 mm or greater). (In practice, the actual stored values are likely to be ""30"" to ""70"" in most cases (0.3 - 0.7 mm). The 2-character decimal wavelength values for each sampling point are concatenated left to right for all sampling points in a row. Each subfield corresponds to one row of the map, in order from top to bottom. ","","","",""
