"CodeTable","Code","Description","CodeGroup","PrimaryDescription","Notes","OpenIssues"
"FGP","05","Right little finger","Finger","","",""
"FGP","06","Left thumb","Finger","","",""
"FGP","07","Left index finger","Finger","","",""
"FGP","08","Left middle finger","Finger","","",""
"FGP","09","Left ring finger","Finger","","",""
"FGP","10","Left little finger","Finger","","",""
"FGP","11","Plain right thumb","Finger","","Does not apply to latent prints",""
"FGP","12","Plain left thumb","Finger","","Does not apply to latent prints",""
"FGP","13","Plain right four fingers (may include extra digits)","Finger","","Does not apply to latent prints",""
"FGP","14","Plain left four fingers (may include extra digits)","Finger","","Does not apply to latent prints",""
"FGP","15","Left & right thumbs","Finger","","Does not apply to latent prints",""
"FGP","16","Right extra digit","Finger","","These rules shall be used in dealing with subjects with extra fingers or thumbs: the four fingers closest to the thumb shall be labeled with the index/middle/ring/little position codes; the thumb closest to the fingers shall be labeled with the thumb position code; additional fingers shall be labeled with the extra finger position code for the appropriate hand. The comment field (Field 13.020: Comment / COM or Field 14.020: Comment / COM) should be used to describe specifics for the finger location. In the case of conjoined fingers, the image of the entire conjoined finger shall be included using the finger position closest to the thumb, and the next finger position shall be used for the next fully separable finger. The comment field (Field 13.020: Comment / COM or Field 14.020: Comment / COM) should be used to describe specifics of the conjoined fingers.",""
"FGP","17","Left extra digit","Finger","","These rules shall be used in dealing with subjects with extra fingers or thumbs: the four fingers closest to the thumb shall be labeled with the index/middle/ring/little position codes; the thumb closest to the fingers shall be labeled with the thumb position code; additional fingers shall be labeled with the extra finger position code for the appropriate hand. The comment field (Field 13.020: Comment / COM or Field 14.020: Comment / COM) should be used to describe specifics for the finger location. In the case of conjoined fingers, the image of the entire conjoined finger shall be included using the finger position closest to the thumb, and the next finger position shall be used for the next fully separable finger. The comment field (Field 13.020: Comment / COM or Field 14.020: Comment / COM) should be used to describe specifics of the conjoined fingers.",""
"FGP","18","Unknown friction ridge (not known whether the print is from a hand or foot)","Unknown","","",""
"FGP","19","EJI or tip (latent image that includes substantive portion of the medial or proximal segments of a finger, or the extreme tip of a fingerprint)","Finger","","Shall not be used in the Extended Feature Set (EFS) of Record Type-9.",""
"FGP","20","Unknown palm (references every listed palm print position)","Palm","","Codes 0 and 20 together address all friction ridge areas on the hands.",""
"FGP","21","Right full palm","Palm","","",""
"FGP","22","Right writer's palm","Palm","","",""
"FGP","23","Left full palm","Palm","","",""
"FGP","24","Left writer's palm","Palm","","",""
"FGP","25","Right lower palm","Palm","","",""
"FGP","26","Right upper palm","Palm","","",""
"FGP","27","Left lower palm","Palm","","",""
"FGP","28","Left upper palm","Palm","","",""
"FGP","29","Right other","Palm","","",""
"FGP","30","Left other","Palm","","",""
"FGP","31","Right interdigital","Palm","","",""
"FGP","32","Right thenar","Palm","","",""
"FGP","33","Right hypothenar","Palm","","",""
"FGP","34","Left interdigital","Palm","","",""
"FGP","35","Left thenar","Palm","","",""
"FGP","36","Left hypothenar","Palm","","",""
"FGP","37","Right grasp","Palm","","",""
"FGP","38","Left grasp","Palm","","",""
"FGP","40","Right index/middle","2 Fingers","","Does not apply to latent prints",""
"FGP","41","Right middle/ring","2 Fingers","","Does not apply to latent prints",""
"FGP","42","Right ring/little","2 Fingers","","Does not apply to latent prints",""
"FGP","43","Left index/middle","2 Fingers","","Does not apply to latent prints",""
"FGP","44","Left middle/ring","2 Fingers","","Does not apply to latent prints",""
"FGP","45","Left ring/little","2 Fingers","","Does not apply to latent prints",""
"FGP","46","Right index / left index","2 Fingers","","Does not apply to latent prints",""
"FGP","47","Right index/middle/ring","3 Fingers","","Does not apply to latent prints",""
"FGP","48","Right middle/ring/little","3 Fingers","","Does not apply to latent prints",""
"FGP","49","Left index/middle/ring","3 Fingers","","Does not apply to latent prints",""
"FGP","50","Left middle/ring/little","3 Fingers","","Does not apply to latent prints",""
"FGP","60","Unknown sole (references every listed plantar position)","Plantar","","Codes 60 and 63 together address all friction ridge areas on the feet",""
"FGP","61","Sole - right foot","Plantar","","",""
"FGP","62","Sole - left foot","Plantar","","",""
"FGP","63","Unknown toe","Plantar","","Codes 60 and 63 together address all friction ridge areas on the feet",""
"FGP","64","Right big toe","Plantar","","",""
"FGP","65","Right second toe","Plantar","","",""
"FGP","66","Right middle toe","Plantar","","",""
"FGP","67","Right fourth toe","Plantar","","",""
"FGP","68","Right little toe","Plantar","","",""
"FGP","69","Left big toe","Plantar","","",""
"FGP","70","Left second toe","Plantar","","",""
"FGP","71","Left middle toe","Plantar","","",""
"FGP","72","Left fourth toe","Plantar","","",""
"FGP","73","Left little toe","Plantar","","",""
"FGP","74","Front / ball of right foot","Plantar","","",""
"FGP","75","Back / heel of right foot","Plantar","","",""
"FGP","76","Front / ball of left foot","Plantar","","",""
"FGP","77","Back / heel of left foot","Plantar","","",""
"FGP","78","Right middle of foot","Plantar","","The codes for the middle of the feet correspond to the arch and/or outside (fibular hypothenar) areas of the feet.",""
"FGP","79","Left middle of foot","Plantar","","The codes for the middle of the feet correspond to the arch and/or outside (fibular hypothenar) areas of the feet.",""
"FGP","81","Right carpal delta area","Palm","","",""
"FGP","82","Left carpal delta area","Palm","","",""
"FGP","83","Right full palm, including writer's palm","Palm","","The subject's hand is rolled so that the full palm and writer's palm are captured in a single impression.",""
"FGP","84","Left full palm, including writer's palm","Palm","","The subject's hand is rolled so that the full palm and writer's palm are captured in a single impression.",""
"FGPXML","0","Unknown finger (references every finger position from 1 - 10, 16, and 17)","Finger","","FGP = Table 8; codes 0 and 20 together address all friction ridge areas on the hands.",""
"FGPXML","1","Right thumb","Finger","","",""
"FGPXML","2","Right index finger","Finger","","",""
"FGPXML","3","Right middle finger","Finger","","",""
"FGPXML","4","Right ring finger","Finger","","",""
"FGPXML","5","Right little finger","Finger","","",""
"FGPXML","6","Left thumb","Finger","","",""
"FGPXML","7","Left index finger","Finger","","",""
"FGPXML","8","Left middle finger","Finger","","",""
"FGPXML","9","Left ring finger","Finger","","",""
"FGPXML","10","Left little finger","Finger","","",""
"FIP/BBC"," S","Head and shoulders: the image within the bounding box is conformant with a ""head and shoulders"" composition (full frontal)","","","FIP/BBC = Table 59",""
"FIP/BBC","F","Face only: the image within the bounding box contains a subject's two eyes, nose and mouth","","","",""
"FIP/BBC","H","Head only: the image within the bounding box is conformant with a ""head only"" composition","","","",""
"FIP/BBC","N","Non-frontal head: the image within the bounding box contains the subject's entire head, but it is not frontal-facing or is otherwise not conformant with a ""head only"" composition","","","",""
"FIP/BBC","X","Partial face: the composition consists of a partial face, containing less than two eyes, nose and mouth","","","",""
"FMD/M1M","0","Minutia of type ""other""","","","",""
"FMD/M1M","1","Ridge ending","","","",""
"FMD/M1M","2","Ridge bifurcation","","","",""
"FMD/QOM","0","No quality value is available","","","",""
"FMT","S","Minutiae are formatted as specified by the standard Type-9 logical record fields descriptions. A standard Type-9 logical record will use Field-5 through Field-12.","","","FMT table found in ANSI/NIST-ITL 2007",""
"FMT","U","Minutiae are formatted in vendor-specific or M1-378 terms.","","","",""
"FPP/OCF","L","Left side of the finger or thumb","","","FPP/OCF = Table 31",""
"FPP/OCF","R","Right side of the finger or thumb","","","",""
"FPP/OCF","T","Tip (plain or rolled tip of the finger or thumb)","","","",""
"FPT","1","MPEG4 feature point","","","",""
"FPT","2","Anthropometric landmark","","","",""
"FTY","ANALOG","Analog file","","","",""
"FTY","OTHER","Digital data stored in other formats that do not have computer file names and suffixes (such as digital tape)","","","",""
"GDC","AIRY","Airy","","","GDC = Table 6",""
"GDC","AIRYM","Modified Airy","","","",""
"GDC","AUST","Australian National","","","",""
"GDC","BES","Bessel 1841","","","",""
"GDC","BESN","Bessel 1841 (Namibia)","","","",""
"GDC","CLK66","Clarke 1866","","","",""
"GDC","CLK80","Clarke 1880","","","",""
"GDC","EVER","Everest","","","",""
"GDC","EVERM","Modified Everest","","","",""
"GDC","FIS60","Fischer 1960 (Mercury)","","","",""
"GDC","FIS60M","Modified Fischer 1960","","","",""
"GDC","FIS68","Fischer 1968","","","",""
"GDC","GRS67","GRS 1967","","","",""
"GDC","HELM","Helmert 1906","","","",""
"GDC","HOUG","Hough","","","",""
"GDC","INT","International","","","",""
"GDC","KRAS","Krassovsky","","","",""
"GDC","SA69","South American 1969","","","",""
"GDC","WGS60","WGS-60","","","",""
"GDC","WGS66","WGS-66","","","",""
"GDC","WGS72","WGS-72","","","",""
"GDC","WGS84","WGS-84 / NAD-83","","","",""
"GEO/OSI","GARS","Global Area Reference System","","","For a description, see http://earth-info.nga.mil/GandG/coordsys/grids/referencesys.html",""
"GEO/OSI","GEOREF","World Geographic Reference","","","For a description, see http://earth-info.nga.mil/GandG/coordsys/grids/referencesys.html",""
"GEO/OSI","LANDMARK","??","","","",""
"GEO/OSI","MGRS","Military Grid Reference System","","","For a description, see http://earth-info.nga.mil/GandG/coordsys/grids/referencesys.html",""
"GEO/OSI","USNG","United States National Grid","","","For a description, see http://earth-info.nga.mil/GandG/coordsys/grids/referencesys.html",""
"IAP","20","IAP 20 (iris diameter in true, non-upscaled pixels is ≥ 140 pixels; # of (quasi-) simultaneously captured eyes is ≥ 1; exposure time is ≤ 33 ms) ","","","IAP = Table 13",""
"IAP","30","IAP 30 (iris diameter in true, non-upscaled pixels is ≥ 170 pixels; # of (quasi-) simultaneously captured eyes is ≥ 1; exposure time is ≤ 15 ms) ","","","",""
"IAP","40","IAP 40 (iris diameter in true, non-upscaled pixels is ≥ 210 pixels; # of (quasi-) simultaneously captured eyes = 2; exposure time is ≤ 10 ms) ","","","",""
"IMP","0","Plain contact
Finger(s) / palm / plantar presented on platen or paper without rolling","","","IMP = Table 8",""
"IMP","1","Rolled contact
Finger rolled on platen or paper","","","",""
"IMP","2","DEPRECATED
Non-livescan, plain fingerprint","","","",""
"IMP","3","DEPRECATED
Non-livescan, rolled fingerprint","","","",""
"IMP","4","Latent image
Image or impression of friction skin deposited on a surface","","","",""
"IMP","5","DEPRECATED
Latent fingerprint tracing","","","",""
"IMP","6","DEPRECATED
Latent fingerprint photo","","","",""
"IMP","7","DEPRECATED
Latent fingerprint lift","","","",""
"IMP","8","Live-scan swipe
Finger / palm / plantar swiped on platen","","","",""
"IMP","10","DEPRECATED
Livescan (type unknown or unspecified), palm","","","",""
"IMP","11","DEPRECATED
Non-livescan, palm","","","",""
"IMP","12","DEPRECATED
Latent palm impression","","","",""
"IMP","13","DEPRECATED
Latent palm tracing","","","",""
"IMP","14","DEPRECATED
Latent palm photo","","","",""
"IMP","15","DEPRECATED
Latent palm lift","","","",""
"IMP","20","DEPRECATED
Livescan optical contact, fingerprint plain","","","",""
"IMP","21","DEPRECATED
Livescan optical contact, fingerprint rolled","","","",""
"IMP","22","DEPRECATED
Livescan non-optical contact, fingerprint plain","","","",""
"IMP","23","DEPRECATED
Livescan non-optical contact, fingerprint rolled","","","",""
"IMP","24","Plain contactless – stationary finger
Finger(s) / palm / plantar presented stationary, in view of a stationary sensor and sensor captures plain contact equivalent","","","",""
"IMP","25","Rolled contactless – stationary subject
Finger(s) / palm/ plantar  presented stationary, in view of a stationary sensor and sensor captures rolled equivalent","","","",""
"IMP","26","DEPRECATED
Livescan non-optical contactless, fingerprint plain","","","",""
"IMP","27","DEPRECATED
Livescan non-optical contactless, fingerprint rolled","","","",""
"IMP","28","Other","","","",""
"IMP","29","Unknown","","","",""
"IMP","30","DEPRECATED
Livescan (type unknown or unspecified), plantar","","","",""
"IMP","31","DEPRECATED
Non-livescan plantar","","","",""
"IMP","32","DEPRECATED
Latent plantar impression  ","","","",""
"IMP","33","DEPRECATED
Latent plantar tracing  ","","","",""
"IMP","34","DEPRECATED
Latent plantar photo","","","",""
"IMP","35","DEPRECATED
Latent plantar lift","","","",""
"IMP","36","DEPRECATED
Latent impression, unknown friction ridge  ","","","",""
"IMP","37","DEPRECATED
Latent source tracing, unknown friction ridge  ","","","",""
"IMP","38","DEPRECATED
Latent photo, unknown friction ridge","","","",""
"IMP","39","DEPRECATED
Latent lift, unknown friction ridge","","","",""
"IMP","41","Rolled contractless – moving subject
Finger(s) / palm / plantar move through the capture volume of a sensor and sensor captures rolled equivalent","","","",""
"IMP","42","Plain contactless – moving subject 
Finger(s) / palm / plantar move through the capture volume of a sensor and sensor captures plain equivalent.","","","",""
"IMT","BUTTOCKS","Buttocks","","","IMT = Table 58 (Image Code column)",""
"IMT","CHEST","Chest","","","",""
"IMT","CONDITION","Physical condition","","","NCIC codes BLIND, CATA, CAUL, CLEFT, CRIP, CROSSEYED, DIMP, DISC, EXTR, FRECKLES, FRC, HUMPBACKED, MC, MOLE, POCKMARKS, PROT, SHRT",""
"IMT","FACE","Face","","","",""
"IMT","FEET","Feet","","","",""
"IMT","FRONTAL-C","Frontal view, clothed","","","",""
"IMT","FRONTAL-N","Frontal view, nude","","","",""
"IMT","GENITALS","Genitals","","","",""
"IMT","HANDS-BACK","Hand(s), back view","","","",""
"IMT","HANDS-PALM","Hand(s), palm view","","","",""
"IMT","LEFT ARM","Left arm","","","",""
"IMT","LEFT LEG","Left leg","","","",""
"IMT","MARK","Needle (""track"") marks","","","NCIC codes NM",""
"IMT","MISSING","Missing body parts and organs","","","NCIC code header category MISS (Showing the location on the body where the part would normally be).",""
"IMT","OTHER","Other physical characteristics","","","NCIC codes ART, BRAC, COLOST, DENT, GOLD, HAIR, HEAR, IMPL, INTRA, SHUNT, SKL, SLVR, STAPLES, SUTUR, TUBE, VASC PROT, TRANSSXL, TUBE, VASC, WIRE, ORTH",""
"IMT","REAR-C","Rear view, clothed","","","",""
"IMT","REAR-N","Rear view, nude","","","",""
"IMT","RIGHT ARM","Right arm","","","",""
"IMT","RIGHT LEG","Right leg","","","",""
"IMT","SCAR","Scar or piercing","","","",""
"IMT","TATTOO","Tattoo","","","",""
"IMT","TORSO-BACK","Torso, back view","","","",""
"IMT","TORSO-FRONT","Torso, frontal view","","","",""
"IPC/IHO","0","Undefined","","","",""
"IPC/IHO","1","Base (images corresponding to the view facing the subject, where the nasal side of subject's left eye or outer edge of the subject's right eye is on the left side of the image)","","","",""
"IPC/IHO","2","Flipped (images where the orientation is opposite from that described for ""Base"")","","","",""
"IPC/IVO","0","Undefined","","","",""
"IPC/IVO","1","Base (images where the superior (top) edge of the eye is at the top of the image)","","","",""
"IPC/IVO","2","Flipped (images where the orientation is opposite from that described for ""Base"")","","","",""
"IPC/IST","0","Undefined","","","",""
"IPC/IST","1","Progressive (image was captured using progressive scanning, in which case all image lines are generated sequentially)","","","",""
"ISF","1","Unconstrained image size (iris centering is recommended; iris margin requirement is ≥ 0.6R for horizontal and  ≥0.2R for vertical)","","","ISF = Table 78. ISF format code 1 is designated for high resolution outputs. R = iris radius.",""
"ISF","2","Raw: 640x480 (iris centering is recommended; iris margin requirement is ≥ 0.6R for horizontal and  ≥0.2R for vertical)","","","ISF level 2 is the format output in most commercial iris acquisition systems and corresponds to the dimensions of the Video Graphics Array (VGA). R = iris radius.",""
"ISF","3","Cropped (iris centering is required; iris margin requirement = 0.6R for horizontal; 0.2R for vertical)","","","ISF 3 images are cropped. R = iris radius.",""
"ISF","7","Cropped and masked (iris centering is required; iris margin requirement = 0.6R for horizontal; 0.2R for vertical)","","","ISF 7 images are cropped and masked. R = iris radius.",""
"ISR","0","Image scanning resolution corresponds to the Appendix F certification level ","","","See Table 14 Class resolution with defined tolerance",""
"ISR","1","Actual scanning resolution (outside of the Appendix F certification range) is specified in Field 1.011","","","",""
"ISRT","0","Scanned and transmitted image resolution is within the range of 19.49 ppmm (495 ppi) to 19.89 ppmm (505 ppi) or image is vector data.","","","",""
"ISRT","1","Scanned and transmitted image resolution is unreported and is not 500ppi +/- 5ppi.","","","",""
"ITX","AGE","Age progressed","","","ITX = Table 69",""
"ITX","AXIS","Off-axis image rectification / Angle correction","","","",""
"ITX","COLORSHIFT","Color shifted","","","",""
"ITX","CONTRAST","Contrast stretched","","","",""
"ITX","CROP","Cropped","","","",""
"ITX","DIST","Distortion corrected (e.g. fisheye correction)","","","",""
"ITX","DOWNSAMPLE","Down-sampled","","","",""
"ITX","GRAY","Grayscale from color","","","",""
"ITX","ILLUM","Illumination transform","","","",""
"ITX","IMGFUSE","Image-level fusion of two or more images","","","",""
"ITX","INTERPOLATE","Up-sampled","","","",""
"ITX","MULTCOMP","Multiply compressed","","","",""
"ITX","MULTIVIEW","Multi-view image","","","",""
"ITX","POSE","Face-specific pose correction","","","",""
"ITX","ROTATE","Rotated (in-plane)","","","",""
"ITX","SNIR","s is defined. If 9/FSP=1, then (either 9/COR or 9/NCOR is required) a","","","",""
"ITX","SUPERRES","Super-resolution image, derived from multiple lower resolution images","","","",""
"ITX","WHITE","White balance adjusted","","","",""
"IUPACDNA","B","G, T, C","","","IUPACDNA = Table 84",""
"IUPACDNA","D","G, A, T","","","",""
"IUPACDNA","H","A, C, T","","","",""
"IUPACDNA","K","G,T","","","",""
"IUPACDNA","M","A, C","","","",""
"IUPACDNA","N","G, A, T, C","","","",""
"IUPACDNA","R","G, A","","","",""
"IUPACDNA","S","G, C","","","",""
"IUPACDNA","V","G, A, C","","","",""
"IUPACDNA","W","A,T","","","",""
"IUPACDNA","Y","T, C","","","",""
"IUPACDNA","-","Deletion","","","The IUPAC code is a hyphen (dash) to designate a deletion. See www.bioinformatics.org/sms2/iupac.html Although IUPAC also allows a period to be used, for purposes of this standard, only the hyphen (dash) is used.",""
"LAF","F","Face shadows","","","",""
"LAF","H","Hot spots","","","",""
"LAF","R","Reflections from eyeglasses","","","",""
"LMT/TOM","1","Natural perspiration and/or body oils (eccrine and/or sebaceous)","","","LMT/TOM = Table 52",""
"LMT/TOM","2","Blood","Visible Contaminants","","",""
"LMT/TOM","3","Paint","Visible Contaminants","","",""
"LMT/TOM","4","Ink","Visible Contaminants","","",""
"LMT/TOM","5","Oil or grease","Visible Contaminants","","",""
"LMT/TOM","6","Dirt or soil","Visible Contaminants","","",""
"LMT/TOM","7","Other visible contaminants","Visible Contaminants","","",""
"LMT/TOM","8","Impression in pliable material","","","",""
"LMT/TOM","9","Contaminant removal via touch","","","",""
"LMT/TOM","10","Other/unknown matrix","","","",""
"LPM","12I","1,2 Indanedione","","","LPM = Table 48",""
"LPM","ADX","Ardrox","","","",""
"LPM","ALS","Alternate light source","","","",""
"LPM","AMB","Amido black","","","",""
"LPM","AY7","Acid yellow 7","","","",""
"LPM","BAR","Basic red 26","","","",""
"LPM","BLE","Bleach (sodium hypochlorite)","","","",""
"LPM","BLP","Black powder","","","",""
"LPM","BPA","Black powder alternative (for tape)","","","",""
"LPM","BRY","Brilliant yellow (basic yellow 40)","","","",""
"LPM","CBB","Coomassie brilliant blue","","","",""
"LPM","CDS","Crowle's double stain","","","",""
"LPM","COG","Colloidal gold","","","",""
"LPM","DAB","Diaminobenzidine","","","",""
"LPM","DFO","1,8-diazafluoren-9-one","","","",""
"LPM","FLP","Fluorescent powder","","","",""
"LPM","GEN","Genipin","","","",""
"LPM","GRP","Gray powder","","","",""
"LPM","GTV","Gentian violet","","","",""
"LPM","HCA","Hydrochloric acid fuming","","","",""
"LPM","IOD","Iodine fuming","","","",""
"LPM","ISR","Iodine spray reagent","","","",""
"LPM","LAS","Laser","","","",""
"LPM","LCV","Leucocrystal violet","","","",""
"LPM","LIQ","Liquinox","","","",""
"LPM","LQD","Liquid-drox","","","",""
"LPM","MBD","7-p-methoxybenzylanimo-4-nitrobenz-2-oxa-1, 3-diazole","","","",""
"LPM","MBP","Magnetic black powder","","","",""
"LPM","MGP","Magnetic grey powder","","","",""
"LPM","MPD","Modified physical developer","","","",""
"LPM","MRM","Maxillon flavine 10gff, Rhodamine 6g, and MBD","","","",""
"LPM","NIN","Ninhydrin","","","",""
"LPM","OTH","Other","","","",""
"LPM","PDV","Physical developer","","","",""
"LPM","R6G","Rhodamine 6G","","","",""
"LPM","RAM","Cyanoacrylate fluorescent dye (Rhodamine 6G, Ardrox, MBD)","","","",""
"LPM","SAO","Safranin O","","","",""
"LPM","SDB","Sudan black","","","",""
"LPM","SGF","Superglue fuming (cyanoacrylate)","","","",""
"LPM","SPR","Small particle reagent","","","",""
"LPM","SSP","Stickyside powder","","","",""
"LPM","SVN","Silver nitrate","","","",""
"LPM","TEC","Theonyl Europiom Chelate","","","",""
"LPM","TID","Titanium dioxide","","","",""
"LPM","VIS","Visual (patent image, not processed by other means)","","","",""
"LPM","WHP","White powder","","","",""
"LPM","ZIC","Zinc chloride","","","",""
"LQI/LQT","ARTIFACT","Digital artifacts, such as occasionally caused by compression or livescan devices.","","","LQI/LQT = Table 53",""
"LQI/LQT","BACKGROUND","Interference with background makes following ridges difficult (e.g. check patterns)","","","",""
"LQI/LQT","COMPRESSED","Distorted area in which ridges are compressed together","","","",""
"LQI/LQT","DISTORT","Miscellaneous distortion (See also Compressed and Stretched)","","","",""
"LQI/LQT","NEGATIVE","Portion of the friction ridge image is tonally reversed (ridges appear white and valleys appear black). Note that Field 9.314 Tonal Reversal (TRV) is used if the entire image is tonally reversed.","","","",""
"LQI/LQT","OTHER","Other quality issues not characterized elsewhere; details should be noted in Comments","","","",""
"LQI/LQT","OVERDEV","Overdeveloped area: excessive processing medium such as ink, powder, etc.","","","",""
"LQI/LQT","OVERLAP","Area in which another friction ridge impression is superimposed over the impression of interest","","","",""
"LQI/LQT","SMEAR","Smeared or smudged area","","","",""
"LQI/LQT","STRETCHED","Distorted area in which ridges are stretched apart from each other","","","",""
"LQI/LQT","TAPE","Lifting tape artifacts (crease, bubble, etc.)","","","",""
"LSB/CLS","1A","Paper","Porous Substrate","","LSB/CLS = Table 51",""
"LSB/CLS","1B","Cardboard","Porous Substrate","","",""
"LSB/CLS","1C","Unfinished/raw wood","Porous Substrate","","",""
"LSB/CLS","1D","Other/unknown porous substrate","Porous Substrate","","",""
"LSB/CLS","2A","Plastic","Nonporous Substrate","","",""
"LSB/CLS","2B","Glass","Nonporous Substrate","","",""
"LSB/CLS","2C","Metal, painted","Nonporous Substrate","","",""
"LSB/CLS","2D","Metal, unpainted","Nonporous Substrate","","",""
"LSB/CLS","2E","Glossy painted surface","Nonporous Substrate","","",""
"LSB/CLS","2F","Tape, adhesive side","Nonporous Substrate","","",""
"LSB/CLS","2G","Tape, nonadhesive side","Nonporous Substrate","","",""
"LSB/CLS","2H","Aluminum foil","Nonporous Substrate","","",""
"LSB/CLS","2I","Other/unknown nonporous substrate","Nonporous Substrate","","",""
"LSB/CLS","3A","Rubber or latex","Semi-porous Substrate","","",""
"LSB/CLS","3B","Leather","Semi-porous Substrate","","",""
"LSB/CLS","3C","Photograph, emulsion side","Semi-porous Substrate","","",""
"LSB/CLS","3D","Photograph, paper side","Semi-porous Substrate","","",""
"LSB/CLS","3E","Glossy or semi-glossy paper or cardboard","Semi-porous Substrate","","",""
"LSB/CLS","3F","Satin or flat finish painted surface","Semi-porous Substrate","","",""
"LSB/CLS","3G","Other/unknown semi-porous substrate","Semi-porous Substrate","","",""
"LSB/CLS","4A","Other substrate (Specify)","Other / Unknown Substrate","","",""
"LSB/CLS","4B","Unknown substrate","Other / Unknown Substrate","","",""
"MFD/FME","AUTO","The fingerprint features were detected and encoded by an automated process without any possibility of human editing. The algorithm shall be noted in the appropriate information item.","","","MFD/FME = Table 47",""
"MFD/FME","EDIT","The fingerprint features were detected and encoded by an automated process, but manually edited. The algorithm and examiner's name shall be noted in the appropriate information items.","","","",""
"MFD/FME","MAN","The fingerprint features were manually detected and encoded. The examiner's name shall be noted in the appropriate information item.","","","",""
"MFD/FME","REV","The fingerprint features were detected and encoded by an automated process, and manually reviewed without the need for manual editing. The algorithm and examiner's name shall be noted in the appropriate information items.","","","",""
"MIN/MTY","B","Ridge bifurcation","","","MIN/MTY = Table 43",""
"MIN/MTY","E","Ridge ending","","","",""
"MIN/MTY","X","Ridge ending or bifurcation, no distinction provided","","","",""
"MPEG4FP","2.1","Bottom of the chin (menton (or gnathion): lowest median landmark on the lower border of the mandible)","Jaw","","Whenever left or right is mentioned for features, this is referred the designation of left/right on your body. For example, the left side of the jaw would be the same side of the body as your left hand. See Figures 13 and 14 in ANSI/NIST.",""
"MPEG4FP","2.10","Chin boss (pogonion: most anterior midpoint of the chin, located on the skin surface in the front of the identical bony landmark of the mandible)","Jaw","","",""
"MPEG4FP","2.11","Chin left corner","Jaw","","",""
"MPEG4FP","2.12","Chin right corner","Jaw","","",""
"MPEG4FP","2.13","Left corner of jaw bone","Jaw","","",""
"MPEG4FP","2.14","Right corner of jaw bone","Jaw","","",""
"MPEG4FP","2.15","Gonion: most lateral point on the mandibural angle close to the bony gonion","Jaw","","",""
"MPEG4FP","2.16","Gonion: most lateral point on the mandibural angle close to the bony gonion","Jaw","","",""
"MPEG4FP","2.2","Middle point of inner upper lip contour","Mouth","","",""
"MPEG4FP","2.3","Middle point of inner lower lip contour","Mouth","","",""
"MPEG4FP","2.4","Left corner of inner lip contour","Mouth","","",""
"MPEG4FP","2.5","Right corner of inner lip contour","Mouth","","",""
"MPEG4FP","2.6","Midpoint between feature points 2.2 and 2.4 in the inner upper lip contour","Mouth","","",""
"MPEG4FP","2.7","Midpoint between feature points 2.2 and 2.5 in the inner upper lip contour","Mouth","","",""
"MPEG4FP","2.8","Midpoint between feature points 2.3 and 2.4 in the inner lower lip contour","Mouth","","",""
"MPEG4FP","2.9","Midpoint between feature points 2.3 and 2.5 in the inner lower lip contour","Mouth","","",""
"MPEG4FP","3.1","Center of upper inner left eyelid (palpebrale superius: highest point in the mid-portion of the free margin of each upper eyelid)","Eye","","See section 8.10.28.2 Eye and nostril center feature points",""
"MPEG4FP","3.10","Center of lower outer right eyelid (orbitale: lowest point on the lower margin of each orbit)","Eye","","",""
"MPEG4FP","3.11","Inside corner of left eye (point at the inner commissure of the eye fissure)","Eye","","",""
"MPEG4FP","3.12","Outside corner of right eye (point at the outer commissure of the eye fissure)","Eye","","",""
"MPEG4FP","3.13","Center of upper outer left eyelid","Eye","","",""
"MPEG4FP","3.14","Center of upper outer right eyelid","Eye","","",""
"MPEG4FP","3.2","Center of upper inner right eyelid  (palpebrale superius: highest point in the mid-portion of the free margin of each upper eyelid)","Eye","","",""
"MPEG4FP","3.3","Center of lower inner left eyelid (palpebrale inferius: lowest point in the mid-portion of the free margin of each lower eyelid)","Eye","","",""
"MPEG4FP","3.4","Center of lower inner right eyelid (palpebrale inferius: lowest point in the mid-portion of the free margin of each lower eyelid)","Eye","","",""
"MPEG4FP","3.5","Center of the pupil of left eye (determined when the head is in the rest position and the eye is looking straight forward)","Eye","","",""
"MPEG4FP","3.6","Center of the pupil of right eye  (determined when the head is in the rest position and the eye is looking straight forward)","Eye","","",""
"MPEG4FP","3.7","Outside corner of left eye (point at the outer commissure of the eye fissure)","Eye","","",""
"MPEG4FP","3.8","Inside corner of right eye (point at the inner commissure of the eye fissure)","Eye","","",""
"MPEG4FP","3.9","Center of lower outer left eyelid  (orbitale: lowest point on the lower margin of each orbit)","Eye","","",""
"MPEG4FP","4.1","Inside corner of left eyebrow","Eyebrow","","",""
"MPEG4FP","4.2","Inside corner of right eyebrow","Eyebrow","","",""
"MPEG4FP","4.3","Uppermost point of the left eyebrow","Eyebrow","","",""
"MPEG4FP","4.4","Uppermost point of the right eyebrow","Eyebrow","","",""
"MPEG4FP","4.5","Outside corner of left eyebrow","Eyebrow","","",""
"MPEG4FP","4.6","Outside corner of right eyebrow","Eyebrow","","",""
"MPEG4FP","5.1","Center of the left cheek","Cheek","","",""
"MPEG4FP","5.2","Center of the right cheek","Cheek","","",""
"MPEG4FP","5.3","Left cheek bone","Cheek","","",""
"MPEG4FP","5.4","Right cheek bone","Cheek","","",""
"MPEG4FP","6.1","Tip of the tongue","Mouth","","",""
"MPEG4FP","6.2","Center of the tongue body (between feature points 6.3 and 6.4)","Mouth","","",""
